symbol,price,rsi,vol_ratio,sma_20,atr,signal,timestamp
TITAN,3899.5,36.1,1.5,Below,123.7,SKIP,2026-03-24T18:04:18.734503
ULTRACEMCO,10764.0,37.1,1.0,Below,389.2,SKIP,2026-03-24T18:04:18.734504
GRASIM,2549.4,36.2,2.0,Below,78.8,SKIP,2026-03-24T18:04:18.734505
ASIANPAINT,2217.3,41.5,1.3,Below,65.3,SKIP,2026-03-24T18:04:18.734506
DIVISLAB,6026.0,40.9,0.9,Below,151.5,SKIP,2026-03-24T18:04:18.734508
EICHERMOT,6871.0,41.0,1.2,Below,249.5,SKIP,2026-03-24T18:04:18.734509
INDUSINDBK,797.25,34.1,1.5,Below,31.2,SKIP,2026-03-24T18:04:18.734510
RELIANCE,1411.8,50.9,1.0,Above,33.9,SKIP,2026-03-24T18:05:11.546638
HDFCBANK,764.9,27.7,1.2,Below,26.4,SKIP,2026-03-24T18:05:11.546648
ICICIBANK,1251.2,36.6,1.1,Below,33.2,SKIP,2026-03-24T18:05:11.546650
SBIN,1030.8,32.4,1.8,Below,34.9,SKIP,2026-03-24T18:05:11.546651
KOTAKBANK,366.85,34.4,1.0,Below,9.9,SKIP,2026-03-24T18:05:11.546653
AXISBANK,1192.7,35.7,1.1,Below,37.7,SKIP,2026-03-24T18:05:11.546654
BAJFINANCE,849.0,36.3,1.9,Below,32.6,SKIP,2026-03-24T18:05:11.546655
BAJAJFINSV,1704.4,30.1,1.2,Below,48.6,SKIP,2026-03-24T18:05:11.546656
HDFCLIFE,603.0,26.7,1.1,Below,17.6,SKIP,2026-03-24T18:05:11.546658
SBILIFE,1836.0,32.3,1.3,Below,49.6,SKIP,2026-03-24T18:05:11.546659
TCS,2398.8,30.1,0.9,Below,60.9,SKIP,2026-03-24T18:05:11.546660
INFY,1278.3,41.7,1.0,Above,35.8,SKIP,2026-03-24T18:05:11.546661
WIPRO,188.74,30.8,0.7,Below,5.1,SKIP,2026-03-24T18:05:11.546662
HCLTECH,1373.3,45.2,1.0,Above,37.7,SKIP,2026-03-24T18:05:11.546663
TECHM,1432.7,54.0,1.7,Above,41.4,SKIP,2026-03-24T18:05:11.546664
LTIM,4105.6,27.6,1.7,Below,153.3,SKIP,2026-03-24T18:05:11.546665
HINDUNILVR,2085.0,31.2,0.9,Below,49.7,SKIP,2026-03-24T18:05:11.546667
ITC,291.25,30.3,1.5,Below,6.4,SKIP,2026-03-24T18:05:11.546668
NESTLEIND,1183.2,33.5,0.8,Below,26.5,SKIP,2026-03-24T18:05:11.546669
